Şimdi,Tarih
4136.87,2018-10-07 00:00:00
4222.05,2018-09-07 00:00:00
4215.89,2018-06-07 00:00:00
4268.09,2018-05-07 00:00:00
4176.33,2018-04-07 00:00:00
4137.17,2018-03-07 00:00:00
4163.03,2018-02-07 00:00:00
4162.02,2018-06-29 00:00:00
4116.41,2018-06-28 00:00:00
4101.54,2018-06-27 00:00:00
3984.68,2018-06-26 00:00:00
3922.78,2018-06-25 00:00:00
3968.02,2018-06-22 00:00:00
4004.97,2018-06-21 00:00:00
4037.37,2018-06-20 00:00:00
3999.44,2018-06-19 00:00:00
3943.06,2018-06-18 00:00:00
3902.44,2018-06-14 00:00:00
3901.25,2018-06-13 00:00:00
3961.9,2018-12-06 00:00:00
3954.81,2018-11-06 00:00:00
4018.8,2018-08-06 00:00:00
4039.86,2018-07-06 00:00:00
3990.73,2018-06-06 00:00:00
4029.72,2018-05-06 00:00:00
4045.9,2018-04-06 00:00:00
4066.74,2018-01-06 00:00:00
4116.67,2018-05-31 00:00:00
4175.93,2018-05-30 00:00:00
4158.33,2018-05-29 00:00:00
4165.05,2018-05-28 00:00:00
4008.07,2018-05-25 00:00:00
3962.71,2018-05-24 00:00:00
4092.06,2018-05-23 00:00:00
4156.05,2018-05-22 00:00:00
4159.64,2018-05-21 00:00:00
4183.19,2018-05-18 00:00:00
4163.74,2018-05-17 00:00:00
4195.36,2018-05-16 00:00:00
4204.59,2018-05-15 00:00:00
4217.15,2018-05-14 00:00:00
4182.26,2018-11-05 00:00:00
4226.56,2018-10-05 00:00:00
4187.35,2018-09-05 00:00:00
4242.14,2018-08-05 00:00:00
4400.8,2018-07-05 00:00:00
4463.86,2018-04-05 00:00:00
4512.94,2018-03-05 00:00:00
4476.54,2018-02-05 00:00:00
4456.39,2018-04-30 00:00:00
4559.6,2018-04-27 00:00:00
4564.3,2018-04-26 00:00:00
4558.18,2018-04-25 00:00:00
4615.12,2018-04-24 00:00:00
4634.18,2018-04-20 00:00:00
4676.07,2018-04-19 00:00:00
4685.31,2018-04-18 00:00:00
4558.87,2018-04-17 00:00:00
4626.24,2018-04-16 00:00:00
4582.87,2018-04-13 00:00:00
4594.49,2018-12-04 00:00:00
4575.62,2018-11-04 00:00:00
4671.98,2018-10-04 00:00:00
4792.38,2018-09-04 00:00:00
4872.78,2018-06-04 00:00:00
4869.47,2018-05-04 00:00:00
4895.56,2018-04-04 00:00:00
4904.35,2018-03-04 00:00:00
5061.06,2018-02-04 00:00:00
4990.03,2018-03-30 00:00:00
4976.33,2018-03-29 00:00:00
5020.77,2018-03-28 00:00:00
5131.24,2018-03-27 00:00:00
5217.3,2018-03-26 00:00:00
5221.48,2018-03-23 00:00:00
5199.47,2018-03-22 00:00:00
5228.11,2018-03-21 00:00:00
5230.12,2018-03-20 00:00:00
5200.07,2018-03-19 00:00:00
5240.8,2018-03-16 00:00:00
5238.08,2018-03-15 00:00:00
5231.14,2018-03-14 00:00:00
5205.9,2018-03-13 00:00:00
5272.13,2018-12-03 00:00:00
5197.7,2018-09-03 00:00:00
5149.34,2018-08-03 00:00:00
5161,2018-07-03 00:00:00
5153.82,2018-06-03 00:00:00
5129.05,2018-05-03 00:00:00
5154.73,2018-02-03 00:00:00
5184.28,2018-01-03 00:00:00
5189.23,2018-02-28 00:00:00
5142.48,2018-02-27 00:00:00
5226.1,2018-02-26 00:00:00
5147.11,2018-02-23 00:00:00
5092.58,2018-02-22 00:00:00
5013.68,2018-02-21 00:00:00
4886.19,2018-02-20 00:00:00
4946.04,2018-02-19 00:00:00
4923.47,2018-02-16 00:00:00
4905.41,2018-02-15 00:00:00
4812.74,2018-02-14 00:00:00
4846.74,2018-02-13 00:00:00
4905.12,2018-12-02 00:00:00
4894.41,2018-09-02 00:00:00
4894.77,2018-08-02 00:00:00
4876.36,2018-07-02 00:00:00
4740.8,2018-06-02 00:00:00
4717.43,2018-05-02 00:00:00
4771.88,2018-02-02 00:00:00
4819.89,2018-01-02 00:00:00
4800.04,2018-01-31 00:00:00
4779.6,2018-01-30 00:00:00
4780.74,2018-01-29 00:00:00
4754.11,2018-01-26 00:00:00
4679.14,2018-01-25 00:00:00
4685.62,2018-01-24 00:00:00
4526.42,2018-01-23 00:00:00
4481.25,2018-01-22 00:00:00
4402.37,2018-01-19 00:00:00
4484.78,2018-01-18 00:00:00
4465.68,2018-01-17 00:00:00
4429.78,2018-01-16 00:00:00
4248.4,2018-01-15 00:00:00
4328.01,2018-12-01 00:00:00
4290.03,2018-11-01 00:00:00
